,CourseID,Descriptions,School
1464,HIST 2981S. The History of the Book in the Early Modern World.,"The History of the Book in the Early Modern World examines howthe production and dissemination of texts influenced conceptionsand categorization of knowledge, reading practices, social access toknowledge, the development of political formations, etc. We first readsome of the foundational works in the field, largely the work of Europeanbook historians. The remainder of the course investigates—throughthe reading of monographs on different book cultures and hands-on examination of books as material objects—the impact that books(especially print books) had on western Europe, the Islamic world, andEast Asian empires in the early modern period.",BrownCourses
1465,HIST 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
1466,HIST 2994. Roman Epigraphy (LATN 2120A).,Interested students must register for LATN 2120A.,BrownCourses
1467,"HIST 2995. Race, Nation, Immigration (HMAN 2400S).",Interested students must register for HMAN 2400S.,BrownCourses
1468,HIAA 0002. Advanced Design Studio.,"These studios, three of which are required for graduation, are offered byindividual instructors to students who have successfully completed thecore curriculum. They are assigned by lottery on the first day of classes.Once assigned to an advanced studio, a student may not drop studio.",BrownCourses
1469,HIAA 0003. Architectural Projection.,"This course introduces the beginning student to the origins, media,geometries and role(s) of projection drawing in the design and constructionprocess. The student will learn systems of projection drawing from directexperience, and be challenged to work both from life and to life. Subjectssuch as transparency, figure/ground, sciagraphy, oblique projection,surface development, volumetric intersections, spatial manipulation andanalytic operations will build on the basics of orthographic and conicprojection. The course involves line and tone drawing, hand drafting,computer drawing(Autocad) and computer modeling(Rhino).",BrownCourses
1470,HIAA 0005. Structural Analysis.,"The basic content will be statics and strength of materials. The first portionwill deal with force vectors, trusses, cross-sectional properties, and shear/moment diagrams, followed by stresses, strains, material applications andthe analysis procedures necessary to compute structural behaviors. Thisclass is foundational to all future structural design classes such as WoodStructures and Steel Structures. A math test will be given prior to the firstclass to determine which students are required to attend a supplementallecture class instructed by the teaching assistant. This course is a pre-requisite for Steel Structures, Wood Structures, and Concrete Structures.",BrownCourses
1471,HIAA 0008. Environmental Design I.,"The study of basic concepts of Human Environmental Comforts. Inherentwithin 'physio-environ' considerations are principles of temperature,humidity, heat transfer, air movement, and hydrostatics. These principleswill be studied in terms of their abstract physics and mathematics, throughempirical benchmarking and as the basis for a design proposal thatincludes considerations of larger scale strategies as wel as assemblies.Emphasis will e place on the principles behind the technology, thebehavioral characteristics and the qualities of the systems' operationconsidered in making building design decisions. No Pre-requisites. HourTBD",BrownCourses
1472,HIAA 0022. The Art of Enlightenment.,"This course surveys the history of Buddhist art-making from the earliestrepresentations of the Buddha to the curatorial practices of modernmuseums. Ranging from the great mandala of Borobudur in Java to theZen monasteries of Japan, we will examine the complex ways in whichtheology and scripture interacted with the particularities of time and placein the long development of Buddhist art. Throughout these inquiries, thesensorial qualities of the art will remain at the forefront of our analysis.Together, we will explore the mechanisms by which artists transformedinert matter into powerful implements of the Buddhist dharma.",BrownCourses
1473,HIAA 0062. Dutch and Flemish Art: Visual Culture of the Netherlandsin the Seventeenth Century.,"Surverys the amazing art in Holland and Flanders that revolutionized allmedia. We will see how paintings, sculpture, and architecture formed thehistorical environment of life in the 17th-century Netherlands. The work ofsuch artists as Rubens, Rembrandt, Van Dyck, and Vermeer is presentedas part of this history of art in a ""golden age."" Weekly one-hour conferencerequired.",BrownCourses
1474,HIAA 0063. Food and Art in the Early Modern World.,"""Taste” is the sensory perception of flavor and the act of judging aestheticquality. This class asks how the taste for food and for art relate in theearly modern world. From the movement of spices, scents, chocolate, andsugar to the vessels that were invented to contain them, we will investigatethe trade and circulation of foods and objects. We will then turn to citiesthat flourished in the wake of such consumption in Japan, Europe, Iran,and India and their dedication to pleasure and devotion. Finally, we willconsider memory and migration through cookbooks, metaphors, anddinner parties.",BrownCourses
1475,"HIAA 0064. Art, Architecture and Empire.","This course places empire at the center of the history of European art andvisual culture. It charts the impact of colonial encounters on Europeanartists and designers, and the impact of European culture on the making ofart in colonized territories, areas of European mercantile activity, frontiers,and contact zones from the 17th to the 20th century. Major themes:curiosity and collecting; exhibitions and colonial space; print culture andthe ethnographic image; slavery and visual representation; natural historyand botanical illustration; built environments and designed landscapes;indigenous agency and the co-production of knowledge in colonial culture;and decolonization. A",BrownCourses
1476,HIAA 0075. Introduction to the History of Art: Modern Photography.,"This class will survey the history of photography as an art form andmeans of visual communication in the modern era. The photograph willbe considered from both esthetic and social perspectives; photography'srise as a medium of personal expression will be examined, as willtechnology's role in the creation of new regimes of spectatorship, andthe mass dissemination of visual information. The class follows the riseof photography's acceptance as an art form in the twentieth century, andculminates with its prominence within the phenomenon of postmodernism.Prior coursework in modern history or art history is helpful. Enrollmentlimited 80.",BrownCourses
1477,HIAA 0081. Architecture of the House Through Space and Time.,"This undergraduate lecture course focuses on one building type, thehouse, through time in Mesopotamia, China, Japan, the Islamic world,the African diaspora, India, Britain, Rhode Island, and Germany andFrance. Houses can be minute or monumental, vernacular or high art,provide minimal shelter or afford the material and psychic satisfaction ofhome. By studying houses, we can bypass some of architectural history’sbiases, and explore some of the major debates in the discipline: What isarchitecture? Who determines what is included/excluded in this category?And on what basis do they make these claims? A",BrownCourses
1478,HIAA 0084. Postwar to Postmodernism: Art Since 1945.,"This lecture course will survey major artistic movements and strategiesthat developed from the postwar period through the 1980s. Styles andschools discussed will include art informel, Abstract Expressionism,Happenings, expanded cinema, kinetic art, Fluxus, Situationists, Pop,minimalism, conceptual art, performance, Institutional Critique, video art,and appropriation. Taking a globally comparative approach, emphasiswill be on the historical conditions that gave rise to such a multiplicity ofpractices, as well as the theoretical frameworks used to advance andunderstand them.",BrownCourses
1479,HIAA 0089. Contemporary Photography.,"This course surveys the rise of photography in the art world in the periodafter 1960. It examines both the development of photography as anindependent medium and the appropriation of lens-based imagery by PopArt, conceptual art, minimalism, and eventually Postmodernism.",BrownCourses
1480,HIAA 0100. Introduction to Architectural Design Studio.,"Introduces students to basic tools and strategies in architectural design.A number of exercises will introduce students to questions about form,function and structure and teach them to learn from close observationof the built environment. The second half of the semester is devoted tothe design of a small house by each student, which will be presented in ascale model and a full set of drawings at the end of the semester. A jury ofinvited architects and professors will conduct a discussion of each project.Enrollment limited to 15. Instructor permission required.",BrownCourses
1481,"HIAA 0580. Word, Image and Power in Renaissance Italy.","This class is designed to introduce cultural and historical perspectives onItaly from Siena in the Middle Ages to Venice in the High Renaissance.Taught by professors of Italian Literature, Art History and History, we willmove across Italy and the centuries focusing on monuments of literature,art, architecture, and history through different disciplinary lenses.",BrownCourses
1482,HIAA 0660. Giotto to Watteau: Introduction to the Art of Europe fromRenaissance to French Revolution.,"Giotto to Watteau introduces the great works of European art from theRenaissance to French Revolution. What ideas and forces enabled artistssuch as Leonardo da Vinci, Hieronymus Bosch, El Greco, Caravaggio,and Rembrandt to transform the visual world so profoundly that theirinnovations still radiate outwards through history into the present? Whatare the best terms and concepts to describe and understand the newstyles that developed between 1300 and 1800? Lectures, discussion,reading, and direct looking consider these questions in a way that worksfor students at an introductory level. A",BrownCourses
1483,HIAA 0770. Architecture and Urbanism of the African Diaspora.,"This lecture course introduces the built environments in and of ""Africa,""from the earliest known examples to the contemporary moment. Througha consideration of texts and images, we will interrogate ""Africa"" as botha construct and concrete geographical entity characterized by diversecultures, contexts, and histories. In addition to exploring the content ofvarious architectural and urban traditions, we will approach our topic fromthe point of view of the theoretical paradigms that have governed thehistoriographical interpretation of particular periods, regions, and cultures.Readings will be arranged thematically and according to chronology andgeography. Weekly one-hour section required. A",BrownCourses
1484,HIAA 0820. Art and Technology from Futurism to Hacktivism.,"This course will introduce students to the central role of technologicalmedia in art of the twentieth and twenty-first centuries. From telephonesto computers, the Sony Portapak to the Internet, artists have creativelyengaged technology to transform how their art was made, circulated, andreceived. We will pay equal attention to technology as a medium andthe ways artists responded to broader technological change. Lookingat works from Europe, the Americas, and Japan, we will interrogate thevarying social conditions and political motivations that drove artists to usetechnology in order to radically change the making and meaning of art.",BrownCourses
1485,HIAA 0850. Modern Architecture.,"The ""classic"" period of European and American modern architecturefrom the turn of the century to the 1950s. Presents both the establishedcanon of masterpieces by among many others, Frank Lloyd Wright, Miesvan der Rohe, and LeCorbusier, and counterbalances this approachwith information about new building materials, changing conditions ofarchitectural production, and the ""mechanisms of fame.""",BrownCourses
1486,HIAA 0860. Contemporary Architecture.,"Stylistic, technological, and theoretical developments in architecture fromthe 1960s to the present. Analyzes movements such as ""Brutalism,""""Postmodernism,"" and ""Deconstruction"" and works by architects suchas Frank Gehry, I. M. Pei, and Zaha Hadid. Emphasizes the complexconditions of architectural production in different parts of the world.Complements HIAA 0850, but may be taken independently. A",BrownCourses
1487,HIAA 1182. Spaces and Institutions of Modernity.,"This undergraduate seminar will explore canonical and emerging theoriesof modernity as they intersect with our understanding of space and the roleof the built environment and designed objects within it. The seminar will beorganized as a series of case studies of the iconic sites and institutions ofmodernity (the metropolis, the world's fair, the museum, the prison) as wellas others that have also come to exemplify it (the ship, the plantation, therailroad, the colony). Class time will include analysis of primary documentsand field trips to local sites. A",BrownCourses
1488,HIAA 1212. The Pictured Text.,"Writing makes language visible, and thus concerns images. Languagealso delimits the legibility of imagery. Turning words into images andimages into words occurs at great speed around us. This course exploresthe relation of text and image across world traditions—Chinese, Mayan,Egyptian, Islamic, Greco-Roman, and others, extending up to the present.Topics include: calligraphy, context, scribal practice, the form and shapeof writing, including typography, hidden or pseudo-writing, graffiti, andcontemporary art.",BrownCourses
1489,HIAA 1305. Pre-Columbian Art + Architecture.,"Survey of ancient art and building in ancient America, with a focus onMexico, Central America, and the Andes. Underlying concepts include:meaning and method, cosmos and kingship, narrative and symbol,personality and authorship, empire and royal court. Rich collections of theHaffenreffer museum will form the focus of work in the class.",BrownCourses
1490,HIAA 1620. Arts Between Europe and the World: 1500-1700.,"How did arts and visual objects of all kinds mediate between Europe andregions of the world opened to contact through trade, conquest, religiousconversion, and the exchange of knowledge? This seminar will searchfor the major contexts of these exchanges and for the best methods tounderstand their histories. What conditions enabled or prevented mutualrecognition? How were foreign materials imported and integrated, as withChinese porcelain in the Netherlands or European glass in China? Whatbalances of power determined exchanges, from the colonial extinction ofPre-Columbian art to the adaptation of western perspective in Japaneseprints?",BrownCourses
1491,HIAA 1720. The Art of Portraiture: Pre-Histories of the Selfie.,"The selfie is ubiquitous today, but posing for a portrait has a history.This seminar examines the art of portraiture—from the celebrity to thebeloved pet to its medium in paint, print, and stone—during the period ofits modern formation in the eighteenth century. How are new concepts ofthe self represented through expression, environment, and stuff? How dopeople fake it in portrayal to redeem or elevate their pasts? How can aportrait serve as a stereotype and how can it visualize a more equitablesociety? Course includes visits and assignments in museums.",BrownCourses
1492,"HIAA 1850H. Berlin: Architecture, Politics and Memory.","This course deals with the architecture and urbanism of the Germancapital and the way the city’s traditions of commemoration in differentphases of its history and under different political regimes. Students willresearch historic structures and sites of the 19th through 21st Centuriesand engage with the intense German debate about historic preservationand commemoration. The course will travel to Berlin during spring break.There we would meet with local architects, politicians and artists todiscuss the city’s engagement with its dramatic past. Course enrollment byapplication. A",BrownCourses
1493,HIAA 1920. Individual Study Project in the History of Art andArchitecture.,"Reading and reports on an approved topic, supervised by a member ofthe staff. Project proposals must be submitted and approved no laterthan the first week of the semester. Section numbers vary by instructor.Please check Banner for the correct section number and CRN to use whenregistering for this course.",BrownCourses
1494,HIAA 1990. Honors Thesis.,The subject of the thesis and program of study will be determined bythe needs of the individual student. Section numbers vary by instructor.Please check Banner for the correct section number and CRN to use whenregistering for this course.,BrownCourses
1495,HIAA 2212. The Pictured Text.,"Writing makes language visible, and thus concerns images. Languagealso delimits the legibility of imagery. Turning words into images andimages into words occurs at great speed around us. This course exploresthe relation of text and image across world traditions—Chinese, Mayan,Egyptian, Islamic, Greco-Roman, and others, extending up to the present.Topics include: calligraphy, context, scribal practice, the form and shapeof writing, including typography, hidden or pseudo-writing, graffiti, andcontemporary art.",BrownCourses
1496,HIAA 2285. Decolonizing Space and Visual Cultures.,This seminar explores scholarly debates about decolonizing space andvisual cultures in post-colonial sub-Saharan Africa and Europe. We willdiscuss these recent initiatives in the context of previous efforts and ofa focused study of African-European colonial histories. Themes include:the violent acquisition of African artifacts; the inscription and erasureof mythologies of colonial conquest and heroism in the iconography ofcolonial monuments; the semiotic transformation of colonial architecturethrough nationalization; colonial toponymy and land reform.,BrownCourses
1497,HIAA 2450. Exchange Scholar Program.,"
",BrownCourses
1498,HIAA 2620. Arts Between Europe and the World: 1500-1700.,"How did arts and visual objects of all kinds mediate between Europe andregions of the world opened to contact through trade, conquest, religiousconversion, and the exchange of knowledge? This seminar will searchfor the major contexts of these exchanges and for the best methods tounderstand their histories. What conditions enabled or prevented mutualrecognition? How were foreign materials imported and integrated, as withChinese porcelain in the Netherlands or European glass in China? Whatbalances of power determined exchanges, from possible the colonialextinction of Pre-Columbian art to the adaptation of western perspective inJapanese prints?",BrownCourses
1499,HIAA 2860B. Photographic Origins.,"Through a series of directed readings and discussions, this seminarexplores the origins and implications of photography's invention inthe wake of Enlightenment philosophy, the industrial revolution, andRomanticism in Europe. No prerequisites, but background in the history ofphotography and/or 19th century Western art is encouraged.",BrownCourses
1500,HIAA 2940. Master's Qualifying Paper Preparation.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
1501,HIAA 2980. Individual Reading (Single Credit).,Single credit. Section numbers vary by instructor. Please check Bannerfor the correct section number and CRN to use when registering for thiscourse.,BrownCourses
1502,HIAA 2981. Individual Reading (Double Credit).,Double credit. Section numbers vary by instructor. Please check Bannerfor the correct section number and CRN to use when registering for thiscourse.,BrownCourses
1503,HIAA 2982. Individual Reading for the Doctoral Candidate.,Single Credit. Section numbers vary by instructor. Please check Bannerfor the correct section number and CRN to use when registering for thiscourse.,BrownCourses
1504,HIAA 2983. Dissertation Research.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
1505,HIAA 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
1506,HIAA 2991. Dissertation Preparation.,For graduate students who are preparing a dissertation and who havemet the tuition requirement and are paying the registration fee to continueactive enrollment.,BrownCourses
1507,HIAA 2992. Master's Thesis Preparation.,"For students preparing a terminal MA thesis, may be repeated in thefollowing semester. Sign up for sections according to individual primaryadvisor.",BrownCourses
1508,INTL 1803W. Roots of Crisis in Central America.,"The five countries of Central America comprise a comparativelylittle-studied region. From time to time they burst into the world’sconsciousness, usually because of political upheaval, foreign intervention,or refugee flows. The forces that set off these crises are rarely explored.This seminar surveys and analyzes Central America from social, cultural,political, and historical perspectives. Restricted to seniors and juniors only.Priority given to IR seniors.",BrownCourses
1509,INTL 1910. Senior Honors Seminar.,Open only to Senior students accepted into the honors program ininternational relations. Instructor permission required.,BrownCourses
1510,INTL 1920. Senior Honors Thesis.,Open only to Senior students accepted into the honors program ininternational relations. Instructor permission required.,BrownCourses
1511,INTL 1970. Individual Research Project.,"Limited to juniors and seniors. Section numbers vary by instructor.
",BrownCourses
1512,ITAL 0100. Elementary Italian.,"Elective for students without previous training in Italian. No credit for firstsemester alone. Fundamentals of Italian grammar and development ofskills in speaking, comprehension, and writing. Overview of contemporaryItalian society. Four meetings per week, audio and video work, two Italianfilms. Note: This is a year course.",BrownCourses
1513,ITAL 0110. Intensive Elementary Italian.,Covers the same material presented in Italian 100-200. One semesterequivalent to the standard two-semester sequence. Daily meetings plusaudio and video assignments.,BrownCourses
1514,ITAL 0200. Elementary Italian.,See Elementary Italian (ITAL 0100) for course description.,BrownCourses
1515,ITAL 0300. Intermediate Italian I.,"Review of the fundamentals of grammar, with emphasis on speaking andwriting. Reading of representative short stories. Weekly compositions,presentations, and a paper. Three Italian films. Prerequisite: ITAL0100-0200, or ITAL 0110, or placement by examination. Requirement forenrollment in the Bologna Program.",BrownCourses
1516,ITAL 0400. Intermediate Italian II.,"Review of specific grammar problems. Reading of one novel andnewspaper articles. Compositions and oral presentations. Three Italianfilms. Prerequisite: ITAL 0300, or placement by examination.",BrownCourses
1517,ITAL 0500. Advanced Italian I.,"The purpose of this advanced course is to improve speaking and writingskills by offering extensive practice in a variety of styles and forms.Students will discuss various aspects of contemporary Italian culture.Reading, analysis and class discussion of texts (articles, songs, pictures,short stories, movies and television), oral presentations, based onresearch, and a writing portfolio (compositions, essays, blog and ajournal). Prerequisites: ITAL 0400, or placement by examination.",BrownCourses
1518,ITAL 0600. Advanced Italian II.,"A sixth semester course with intensive practice in speaking and writing.Short stories, poems, music, and movies will be used to discuss ItalianSociety from the Second World War through the present. We willexplore some important themes--family, religion, gender, and politics.Class discussion, compositions, oral presentations, and a final paper.Prerequisite: ITAL 0500, placement by examination.",BrownCourses
1519,ITAL 0701. Simulating Reality: The (Curious) History and Science ofImmersive Experiences..,"Can an experimental approach enhance our critical-historicalunderstanding of immersive experiences? We will look at the history of3D vision from an interdisciplinary perspective combining the scienceof perception and the cultural history of technology. Through a series ofcollaborative activities and team experiments, we will learn how popular,pre-digital optical devices (such as camerae obscurae, magic lanterns,panoramas or stereoscopes) foreshadow contemporary VR, AR, or XRexperiences designed for education and entertainment. Among the themesexplored: virtual travel, social voyeurism and surveillance, utopian anddystopian imagination.",BrownCourses
1520,"ITAL 0975. Let’s Eat, Italy: Italian History and Culture through Food.","We are what we eat. This course focuses on Italian traditions and itsdaily culinary practices to understand how food shaped and continues toshape Italian culture and identity. We will explore the historical, economicand social factors that have influenced the development of a nationalcuisine. How does food connect memory and identity? Sources consideredare family memoirs and cookbooks; political programs of Futurism andFascism and their relationship to Italian foodways; food representations inliterature and cinema. Course will look at Italian - American cuisine and itskey role in shaping identities in the new world.",BrownCourses
1521,ITAL 1020. Boccaccio's Decameron.,"Close study and discussion of Boccaccio's collection of 100 talestold by ten young Florentines over a period of two weeks, while inflight from the devastating plague of 1348. The Decameron definedthe standard of Italian prose narrative for four centuries and deeplyinfluenced Renaissance drama. We will also pay particular attention tovisualizations and adaptations of the Decameron into a variety of media,from manuscript illumination to painting, theatre and film. Students willcontribute to the Decameron Web, the award-winning Boccaccio web siteadministered by the department of Italian Studies. Sections in English andItalian. Enrollment limited to 40.",BrownCourses
1522,ITAL 1350A. Transmedia Storytelling and the New Italian Epic..,"Transmedia Storytelling and the New Italian Epic. ""New Italian Epic""describes a network of stories blending fiction and non-fiction acrossa variety of media, from books to blogs and zines, from feature ordocumentary films to TV/YouTube series and video games. TheseUnidentified Narrative Objects often explore conflictual aspects ofcontemporary society, such as migration, organized crime, trafficking andcorruption, environmental upheavals, from a militant perspective. We willlook at the way these UNOs both exploit and evade technological andindustrial constraints in order to shape their realistic, utopian or dystopianstrategies. Sections in both Italian and English.",BrownCourses
1523,"ITAL 1580. Word, Image and Power in Early Modern Italy.","This undergraduate lecture class is designed to introduce culturaland historical perspectives on Italy from Siena in the Middle Ages toRenaissance Florence and the early modern Veneto. Team taught byprofessors of Italian Art History, History, and Literature, we will moveacross Italy and the centuries focusing on monuments of literature, art,architecture, and history through different disciplinary lenses. In English.",BrownCourses
1524,ITAL 1610. The Divina Commedia: Inferno and Purgatorio.,A close reading of the first two canticles of Dante's poem in the light ofcontemporary European and American critical interpretations. In Italian.Enrollment limited to 40.,BrownCourses
1525,ITAL 1920. Independent Study Project (Undergraduate).,"Undergraduate Independent Study supervised by a member of the ItalianStudies Faculty. Students may pursue independent research in order toprepare for their honors thesis or honors multimedia project, or they mayenroll in the course in order to work individually with a faculty member on aspecific area of Italian Studies not covered in the current course offerings.Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.",BrownCourses
1526,ITAL 1990. Senior Conference.,Special work or preparation of an honors thesis under the direction of amember of the staff. Section numbers vary by instructor. Please checkBanner for the correct section number and CRN to use when registeringfor this course.,BrownCourses
1527,ITAL 2100. Introduction to Italian Studies.,"This seminar, a requirement for graduate students in Italian Studies, hasthree objectives: 1) to provide a panoramic view of the current researchin the interdisciplinary field of Italian studies (literature, history, arts andmedia); 2) to provide a picture of the professional state of the field, withinthe framework of more global developments in academia and the jobmarkets; 3) to provide useful information about the resources and thenew tools and techniques for research available to students at Brown andelsewhere (special collections in the Brown libraries, digital resources suchas data bases, electronic journals, web projects, etc.).",BrownCourses
1528,ITAL 2450. Exchange Scholar Program.,"
",BrownCourses
1529,ITAL 2820. Italian Studies Colloquium.,"The Italian Studies Colloquium is a forum for an exchange of ideas andwork of the community of Italian scholars at Brown and invited outsidescholars. Graduate students present their work in progress, and engagethe work of faculty and visitors. They are expected to come prepared withinformed questions on the topic presented. Presentations in both Italianand English. Instructor permission required.",BrownCourses
1530,ITAL 2970. Preliminary Examination Preparation.,For graduate students who have met the tuition requirement and arepaying the registration fee to continue active enrollment while preparing fora preliminary examination.,BrownCourses
1531,ITAL 2980. Reading and Research.,Courses on special subjects individually planned and supervised. Sectionnumbers vary by instructor. Please check Banner for the correct sectionnumber and CRN to use when registering for this course.,BrownCourses
1532,ITAL 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
1533,BHBR 0100. Introduction to Biblical Hebrew.,An intensive introduction to the fundamentals of biblical Hebrew grammarand vocabulary intended to prepare students to read biblical texts in theoriginal language. For students with little or no prior knowledge of Hebrew.,BrownCourses
1534,BHBR 0200. Readings in Biblical Hebrew.,"An introduction to the reading of biblical texts in Hebrew. Reading ofselected texts from narrative, law, and poetry in the Hebrew Bible, with afew texts in post-classical Hebrew (the Dead Sea Scrolls and the Mishnah)introduced late in the semester. Intended for students who have completedBHBR 0100; others should consult the instructor.",BrownCourses
1535,HEBR 0100. Elementary Hebrew.,"An introduction to the skills of reading, writing, and conversing incontemporary Israeli Hebrew. Students also read Hebrew texts adaptedfor their level of Hebrew based on biblical, rabbinic, and modern Hebrewliterature, which introduce them to the approaches of Hebrew writers invarious periods and to a variety of cultural issues. If registration is closed,please contact the professor and a wait list will be created. This is thefirst half of a year-long course whose first semester grade is normally atemporary one. Neither semester may be elected independently withoutspecial permission. Enrollment limited to 20.",BrownCourses
1536,HEBR 0200. Elementary Hebrew.,"This is the second half of a year-long course, an introduction to the skillsof reading, writing, and conversing in contemporary Israeli Hebrew.Students also read Hebrew texts adapted for their level of Hebrew basedon biblical, rabbinic, and modern Hebrew literature, which introduce themto the approaches of Hebrew writers in various periods and to a varietyof cultural issues. Prerequisite: HEBR 0100. Students must have takenHEBR 0100 for credit to receive credit for this course. Exceptions mustbe approved by both the academic department and the Committee onAcademic Standing. Enrollment limited to 20.",BrownCourses
1537,HEBR 0300. Intermediate Hebrew.,"Develops the skills of reading, writing, and conversing in contemporaryIsraeli Hebrew at the intermediate level and of reading Hebrew texts of thebiblical, rabbinic, and modern periods (biblical stories, rabbinic legends,modern Hebrew poems, stories, essays, newspaper articles). Discussionsand compositions focus on the psychological, cultural, political, and socialissues reflected in the Hebrew sources that we study. Prerequisite: HEBR0200 or equivalent. Enrollment limited to 20. If unable to enroll becauseof closed registration, please contact the professor and a wait list will becreated.",BrownCourses
1538,HEBR 0400. Intermediate Hebrew.,"Develops the skills of reading, writing, and conversing in contemporaryIsraeli Hebrew at the intermediate level and of reading Hebrew texts of thebiblical, rabbinic, and modern periods (biblical stories, rabbinic legends,modern Hebrew poems, stories, essays, newspaper articles). Discussionsand compositions focus on the psychological, cultural, political, and socialissues reflected in the Hebrew sources that we study. Prerequisite: HEBR0300 or equivalent. Enrollment limited to 20. If unable to enroll becauseof closed registration please contact the professor and a wait list will becreated.",BrownCourses
1539,HEBR 0500. Writing and Speaking Hebrew.,"Enables students to improve their skills in speaking and writing Hebrewon a variety of topics. Features advanced work on language structure andactive language practice in the classroom. Class discussions of Israelicurrent events draw on Israeli stories, poems, television programs, andfilms and on the Israeli press. Students also compose essays and storiesin Hebrew. Prerequisite: HEBR 0400 or equivalent. Enrollment limited to20.",BrownCourses
1540,JUDS 0050M. Difficult Relations? Judaism and Christianity from theMiddle Ages until the Present.,"Jewish and Christian identity in Europe has traditionally been closelyconnected to the ways the two religions view each other. Mutualadmiration, influence, and hatred have combined together in a difficultrelationship, fundamental to European history. In this course, we willsurvey that relationship, examining some key issues and events whichshaped it. The Jews' attitudes and actions will be examined alongsidethose of their Christian neighbors. Topics covered include: medievalrevulsion and attraction; early modern re-evaluations of Judaism andChristianity; modern Christian anti-Semitism, Jewish diplomacy, and theHolocaust; the effects of Vatican II; Israel and the contemporary Christianworld.",BrownCourses
1541,JUDS 0060. The Bible and Moral Debate.,"How was the Bible employed in past moral debates that divided Americansociety, e.g., debates over the legitimacy of slavery? How is the Bibleused in contemporary moral discourse, e.g., concerning abortion, capitalpunishment and gay rights? What does the Bible really have to say aboutsuch issues? This course will consider these and other questions througha close reading of pertinent texts which address topics such as abortion,homosexuality, capital punishment, immigration, gender, family violence,race and slavery, disability, genocide, the environment and inequality ofwealth. No prerequisites.",BrownCourses
1542,JUDS 0063. Antisemitism: A History.,"This course will review the history of antisemitism, from antiquity tothe present along with theoretical perspectives on why it has been sopersistent. Topics will include: Christian and Muslim anti-Judaism; racism;economic stereotypes; and modern manifestations in the U.S. and Europe.",BrownCourses
1543,JUDS 0606. Gender in Early Jewish and Christian Narratives.,"Many of the favorite narratives of Jews and Christians in the ancient period(for this course, about 400 BCE to 300 CE) featured women charactersor emphasized issues of gender: Esther, Judith, and Susanna; MaryMagdalene and other gospel women, or Thecla, the perhaps legendarycompanion of Paul. Both Jewish and Christian texts used gender toexplore new ways of constructing heroic women and men that either re-inscribed or challenged traditional roles. This seminar takes up a closereading of narrative texts, compared also with wisdom texts (Proverbs,Ben Sira, Wisdom of Solomon, Avot).",BrownCourses
1544,JUDS 0670. War and Peace in the Hebrew Bible and its Environment.,"An examination of the role of war and peace in the Hebrew Bible andin texts and art of ancient Israel’s neighbors. Topics include divinebeings, war and peace-making; peace treaties; explaining defeat andvictory; ideologies of warfare; the treatment of prisoners, corpses andcaptured bones; the warrior as masculine ideal; civil war and coups;treaty obligations; ritual dimensions of war and peace (e.g., mourning,animal sacrifice, child sacrifice, divination, memorializing war); visualrepresentations of war as propaganda; the idea of a future, eschatologicalwar between the forces of good and the forces of evil. No prerequisites.",BrownCourses
1545,JUDS 0682. How Bible Became Holy.,"Over the past 2,000 years, people have killed and died for the Bible, andit continues to exercise a powerful if contested role in modern politics.Yet how did it achieve this power? This course will trace the developmentof the Hebrew Bible (Old Testament) from its origins in ancient Israel toits development about five hundred years later as a foundational text ofboth Judaism and Christianity. The focus will be on how Jews and earlyChristians throughout antiquity understood and ascribed authority to theBible.",BrownCourses
1546,JUDS 0820. The Language of Religious Faith.,"A course on the ways poetry provides a language of religious faith thatemerges from the sense of a divine presence in human experience. Wewill explore how this language of religious faith expresses a wide rangeof both negative and positive responses by those seeking a relationshipwith this divine presence, including fear, doubt, guilt, abandonment,ecstasy, gratefulness, hopefulness, and security. Our study of thisphenomenon will yield insights into the relationship between psychologyand spirituality. Sources will include the biblical books of Psalms and Joband contemporary Jewish and Christian poetry.",BrownCourses
1547,JUDS 1601. Jewish and Christian Identity in the Ancient Period.,"The modern engagement with the many ways that we construct identityhas been matched by a similar wave of studies about identity constructionin the ancient world. In this course we will discuss the rise of “Judaism”and “Jewish identity” in the ancient period (looking at roughly 400BCE-200 CE), and compare it with the movement of the followers of Jesusas a negotiation of a new identity within Judaism (roughly 30 CE-200 CE).We will conclude with the question of the “Parting of the Ways” of thesetwo groups.",BrownCourses
1548,JUDS 1603. On the Margins of the Bible: Jewish and Christian Non-Canonical Texts.,"Ancient Jews and Christians produced many texts that were not canonizedin the Bible, texts often as interesting, beautiful, or theologically rewardingas those later canonized. Why were they not also included? What wasthe process of canonization, and who was in charge? What were thecontexts that produced the non-canonical texts? Were the texts omittedat odds with the mainstream, or even dangerous? What value did theyhave in the ancient world, and what value do they hold today for historicalunderstanding? We will study some of the best of these texts, comparingthem to biblical texts.",BrownCourses
