SECTION, TITLE, DESCRIPTION
PHYS 250, Mechanics  3 Cr.,  The classical mechanics of particles systems of particles and rigid bodies utilizing analytical techniques of vectors and differential and integral calculus. Among the topics included are Newton’s laws of motion in one and three dimensions conservation laws harmonic oscillation central force motion scattering and an introduction to rigid body motion.  
CE 322.,) The application of microcontrollers in embedded system design emphasizing the interaction of hardware and software design., Topics include integrated development environments CPUs program and data memories interrupts digital inputs and outputs timer peripherals serial communication interfaces and analog-to-digital converter peripherals. Course includes a laboratory component.  
ME 333.,) A study of fundamental concepts and physical principles involved in the science of measurement and design of experiments., Experiments involve calibration and testing (both static and dynamic) of primary elements signal amplifiers transducers and readout devices. Experimentation utilizes laboratory and industrial instruments. Extensive use is made of computer data acquisition and analysis. Course includes a laboratory component. Corequisite: 
ECE 340.,) An introduction to semiconductor theory and the design and analysis of electronic circuits., Topics include diodes field-effect and bipolar transistors CMOS logic circuits single-state discrete transistor amplifiers and multistage integrated-circuit amplifiers. Course includes a laboratory component.  
ME 352.,) A study of structure-property-processing relationships of engineering materials related to their selection in design and manufacturing processes., Methods of controlling structure and mechanical properties of materials are studied with an emphasis on the strengthening mechanisms. Processes studied include solidification phase transformation and mechanical working of metals. Course includes a laboratory component.  
PHYS 360, Thermal Physics 3 Cr.,  A study of the basic principles of thermodynamics kinetic theory and elementary statistical mechanics. Among the topics included are equations of state laws of thermodynamics reversibility entropy kinetic theory transport phenomena and statistical description of systems of particles. Normally offered in the fall semester of even numbered years.  
PHYS 372, Electromagnetic Waves and Physical Optics 3 Cr.,  Proceeding from Maxwell’s equations students investigate the wave aspects of electromagnetic fields including propagation reflection refraction polarization interference and diffraction. Other topics include radiating systems and wave guides. Normally offered in the spring semester of odd numbered years.  
PHYS 381, Advanced Mechanics 3 Cr.,  The application of advanced mathematical methods to physical problems. Topics may include Lagrange’s method small oscillation theory including coupled oscillators generalized rotation the theory of special relativity numerical methods and perturbation theory. Normally offered in the fall semester of even numbered years.  
PHYS 421, Quantum Mechanics I 3 Cr.,  The fundamental concepts and principles of quantum physics are developed in a mathematically rigorous way and applied to atomic nuclear and solid state physics. Topics include the fundamental postulates of quantum mechanics the Schroedinger equation and selected topics such as the harmonic oscillator orbital and spin angular momentum the hydrogen atom identical particles elementary matrix mechanics multi-electron atoms and collision theory. Normally offered in the fall semester of odd numbered years.  
PHYS 421, with further development and application of quantum theory., Topics may include time independent and time dependent perturbation theory with applications scattering theory matrix mechanics multi-electron and molecular systems elementary Hartree-Fock theory superconductivity and elementary relativistic quantum mechanics. Normally offered in the spring semester of even numbered years.     Physics and Astronomy 237 
PHYS 440, Condensed Matter Physics 3 Cr.,  A presentation of the basic concepts of the quantum theory of matter with emphasis on physical models which provide a quantitative description of the solid state. Topics includes crystal structure diffraction the reciprocal lattice chemical bonding in molecules and solids lattice dynamics phonons thermal properties the free electron gas electrons in a periodic lattice band structure semiconductors magnetic and optical properties and superconductivity. Normally offered in the spring semester of odd numbered years.  
PHYS 445, Senior Research in Physics 0+3 1-2 Cr.,  Each student undertakes a physics research problem. A written report and an oral presentation at the Physics Colloquium are required. Student research problems must be approved by the department.  Two credits are required for the physics major and the astronomy major. May be taken as two credits in one semester or preferably as one credit in each of two consecutive semesters. 
NS 490.,) An exploration of the scientific enterprise involving a study of foundational principles and assumptions of the scientific endeavor its various methodologies and its scope and limitations., This will include illustrations from historical case studies and "scientific revolutions." Students will also study the ethical and moral connections between their personal and professional science lives.  This course may not be used to fulfill the minimum requirements of a physics or astronomy major. This course may be used to fulfill the Humanities: Philosophy requirement of the General Education Requirements when cross-listed with 
POLS 110, Introduction to Politics 3 Cr.,  An introduction to the theories concepts and issues of politics with particular emphasis on how these apply to problems of ethnicity and diversity in the American political system. May be used to fulfill the Cultural Diversity course component of the General Education Requirements. 
POLS 170, The Field of Law 1 Cr.,  A course designed to help students prepare for the professional study of law. Open to all students.                                                                     11 May be used to fulfill General Education requirements where appropriate. Political Science and International Relations 242 Note: The following courses are not open to freshmen without permission of the chair of the department. 
POLS 210, Research Methods in Political Science 3 Cr.,  An examination of the basic research methods statistics and data analysis techniques used by social scientists. An emphasis is on the application of these methods in an applied setting and students are often involved in a community research project. May be used to fulfill the Quantitative Analysis component of the General Education Requirements. May also be used to fulfill one of the three International Relations courses in the IRL major.  
POLS 231, Politics of Developing States 3 Cr.,  A study of governments and political problems within and across developing states found in Eastern Europe the Middle East Central and East Asia North and Sub-Sahara Africa Latin America and the Caribbean. Topics include economic and political development regime types trade political culture and contemporary challenges. May be used to fulfill the Cultural Diversity course component of the General Education Requirements. 
POLS 291, Topics in International Relations 3 Cr.,  A study of topics in the process policies and functions of international relations or comparative political science (e.g. comparative political parties political institutions etc.). May be used to fulfill either an International Relations requirement or a Comparative requirement when topics are appropriate (as designated by the department chair). May be repeated for credit if topics are different. 
POLS 320,/520 Politics of Urban and Metropolitan Areas 3 Cr.,  This course will examine the politics and policy making of urban and metropolitan governments and will include special emphasis on issues such as the nature of local decision-making racial and ethnic politics education housing law enforcement economic development and the prospects for regional government.  
POLS 326,/526 The Presidency 3 Cr.,  An examination of the American Presidency with specific emphasis on the President's constitutional position the process of nominating and electing a president presidential power and behavior and the President's relations with the public and coordinate branches of government.     Political Science and International Relations 243 
POLS 332,/532 Politics of China and East Asia 3 Cr.,  This course examines the politics of contemporary China and East Asia. It traces the cultural and historical legacies affecting political life and the political processes through which nation-state citizen-subjects and the organizations and institutions of governance are constructed and interact. It also examines the major political challenges facing the region.  
POLS 336,/536 Politics of Latin America 3 Cr.,  This course examines the politics of Latin America with a focus on democracy and economic development. The course includes a brief historical overview an examination of the fight for democracy an exploration of citizens' political views and debate regarding major issues facing the region.  
POLS 342,/542 Political Ideologies 3 Cr.,  After an introduction to the concept of ideology and various approaches to studying ideologies the course will examine many of the ideologies that developed during the twentieth century and that continue to shape the world in which we live. Topics for reading and discussion include: liberalism and conservatism socialism and communism fascism and nationalism fundamentalism liberation theology feminism environmentalism and anarchism. The class will examine what each of these have in common as ideologies how the proponents of each understand the world and how each has been used to encourage and control political action.  
POLS 351,/551 American Foreign Policy 3 Cr.,  The various internal and external factors that influence the formulation and execution of U.S. foreign policy are examined. The course will also cover the substance of foreign policy as well as the major international problems facing the United States today.  
POLS 352,/552 Model United Nations 3 Cr.,  This course provides an orientation to the operations of the United Nations including current events pressing international issues the basics of international law and some of the protocol and procedures of international diplomacy. The course will assist students in preparing for their roles as distinguished diplomats at one of the Model United Nations conferences held in Indiana or Illinois (attendance required).  
PSJ 201.,) This course focuses on social responsibility by examining the means of establishing justice achieving peace and resolving conflicts nonviolently., The causes nature and processes of conflict are reviewed. That conflicts are frequently rooted in injustice requires an understanding of the nature of social justice. These injustices may arise from economic political sociological religious and/or psychological sources. The nature and methods of nonviolent conflict resolution and reconciliation are also considered.    Political Science and International Relations 244 
POLS 359, Study Abroad Field Research 3 Cr.,  Students participating in Valparaiso University-sponsored study abroad programs can receive additional credit by doing research and writing a paper utilizing the resources available in the areas where they are located. All research must be approved in advance by the chair of the department. 
POLS 386, Internship in Political Science 1-7 Cr.,  Opportunities for students to have direct supervised experience in governmental agencies political parties and other political organizations at the national state and local levels. Some internships are in conjunction with off campus programs such as the Washington semester. May be used to fulfill either an International Relations requirement or a Comparative requirement when topics are appropriate. May be repeated for credit to a maximum of 7 credit hours.  
POLS 391,/591 Advanced Topics in International Relations I 3 Cr.,  An intensive study of topics in the process policies and functions of international relations or comparative political science (e.g. comparative political parties political institutions etc.). May be used to fulfill either an International Relations requirement or a Comparative requirement when topics are appropriate (as determined by the department chair).  May be repeated for credit if topics are different. 
POLS 437,/537 Comparative Public Policy 3 Cr.,  This course examines how public policies in other countries differ from those in the United States. The course focuses on the policies coming from both advanced industrialized nations such as Britain Japan and Sweden as well as from developing states such as Brazil China India and South Africa.     Political Science and International Relations 245 
POLS 438,/538 Gender and Public Policy in Global Perspective 3 Cr.,  The purpose of this course is to introduce students to the role of gender and politics in different countries throughout the world. The course examines the role of women as political actors and their activities in formal and grassroots politics and analyzes gender as a variable in public policy in different countries.  
POLS 450,/550 International Regimes and Global Governance 3 Cr.,  International regimes are systems of norms and rules agreed upon by states to govern their behavior in specific political contexts or issue areas. Thousands of formal and informal international regimes address issues ranging from arms control trade and economic affairs human rights and environmental problems. This course examines the source effectiveness and the institutions designed to implement these various regimes.  
POLS 454,/554 International Political Economy 3 Cr.,  The objective of this course is to introduce students to the study of political economy with an emphasis on the relationship between politics and economics within the context of globalization. The course draws upon concepts and approaches from political science economics history and sociology in order to offer the student a broad introduction to current issues in political economy.  
POLS 456,/556 War and Conflict 3 Cr.,  This course focuses on the forces that promote international conflict and peace. Students will discuss the ways in which warfare has changed across history as well as the form it is likely to take in the future. Of particular interest in the survey of international war will be the intersection between war and politics.  
POLS 490, Advanced Topics in Political Science II 1-3 Cr.,  These are full- or half-semester courses covering a variety of subject areas with subtitles and content dependent on instructor choice and student interest. They are of two types labeled accordingly: (a) reading and discussion seminars or (b) seminars with major papers. 
POLS 491, Advanced Topics in International Relations II 1-3 Cr.,  An intensive study of topics in the process policies and functions of international relations or comparative political science (e.g. comparative political parties political institutions etc.). May be used to fulfill either an International Relations requirement or a Comparative requirement when topics are appropriate (determined by department chair). May be repeated for credit if topics differ two 
POLS 493, Senior Seminar in Political Science 3 Cr.,  This seminar is designed to be the place where students bring their knowledge and skills as political science majors to bear on current political topics in preparation for future service to society and active participation as citizens in a democracy. 
PSY 110, may be earned through the College Level Examination Program subject examination in Introductory Psychology., Approval of Schedules All students taking a major or minor in psychology must have their schedules approved by the chair of the department or their assigned departmental advisor. Psychology Courses 
PSY 102, Introductory Professional Development in Psychology 1.,5 Cr.  This course exposes students to the variety of options and careers that people with an undergraduate degree in psychology may pursue. Topics include professional skill development academic preparation for various professional paths the process for applying to graduate school and specific ways to maximize the student’s experience as a psychology major. S/U grade only. 
PSY 103, Mentored Research in Psychology 1 Cr.,  Students will work with advanced Psychology major mentors on an independent research project. Mentors and mentees will work together to design a study collect data conduct statistical analyses and prepare a poster summarizing the work. Mentees will meet with their mentors weekly.  
PSY 110, General Psychology 3 Cr.,  An introduction to the field of psychology with strong emphasis upon the scientific study of behavior. Topics include nervous system functioning sensation and perception learning memory cognition development motivation emotion social behavior psychological dysfunction and treatment. When taken concurrently with laboratory (
PSY 260, Psychotherapy and Counseling 3 Cr.,  An introduction to how psychological theory methods and practices are applied in clinical or counseling settings. Topics include approaches for applying psychology to mental health issues psychological procedures for assessment and treatment and contemporary issues in the field.  
PSY 302, Advanced Professional Development in Psychology 1.,5 Cr.  This course provides an opportunity to develop and refine professional skills that are relevant to a variety of careers that individuals with an undergraduate degree in psychology may pursue. Topics include resume and curriculum vitae preparation employment interview skills graduate application procedures and ways to market one’s academic research and professional experiences. S/U grade only.  
EAST 325.,) An examination of the relationship between culture and the behavior of the individual with a particular focus on human development and adaptation., Western and non-Western approaches to the topic are considered and compared with each other and applications to mental health issues are discussed.  
PSY 360,/560 History and Systems of Psychology 3 Cr.,  This course is a survey of the individuals and schools of thought that have influenced and still influence psychology. The philosophical beginnings of psychology and the development of a scientific approach to studying human nature are discussed in an attempt to understand contemporary trends in the field of psychology.  
EAST 365.,) A study of the similarities and differences between religious and psychological perspectives related to our understanding of the human person including our development health and wellness., Psychological theory and research are discussed and original source religious texts are studied from a psychological perspective in accompanying discussion sessions.  Corequisite: 
PSY 366, Christian Perspectives on Psychology and Religion 1 Cr.,  A study of the similarities and differences between Christian and modern psychological understandings of the human person through study and discussion of original source Christian religious texts. The discussion is designed as a complement to material presented in 
SOC 380.,) This Inside-Out Prison Exchange course brings together students from Valparaiso University and residents of a local correctional facility to engage in meaningful dialogue about crime justice the criminal justice system imprisonment and human behavior., It is an opportunity for all participants to gain a deeper understanding of these topics from both theoretical and practical perspectives. “Inside” and “outside” students will work together share ideas and perceptions and learn from one another over the course of the semester. The course is limited to juniors and seniors and to Sociology and Psychology majors. Inclusion in the course requires completion of an application and interview and consent of the instructors. Normally offered each spring. 
PSY 390,/590 Special Topics in Psychology 1-3 Cr.,  Selected topics based on the special interest areas of students and faculty. Recent topics have included cross-cultural psychology psychology of women industrial psychology psychology of religion and altered states of consciousness. Topics and descriptions are announced in advance.  
PSY 486, Psychology Internship: Field Experience 1-3 Cr.,  Emphasis on but not limited to functions of social-service and mental-health agencies. Each student spends 4-10 hours each week in supervised work activity at an agency in Northwest Indiana and two hours every other week in a classroom discussion meeting. A written report is required.  May be repeated for credit to a maximum of nine credit hours; only three credit hours may be applied toward a major in Psychology. S/U grade only. 
SOCW 151, Introduction to the Profession of Social Work 3 Cr.,  This course introduces students to social work one of the most dynamic and diverse professions in the public service arena. From a beginning look at its historical roots to the wide variety of practice arenas students will gain a preliminary understanding of foundational theory and conceptual materials required for effective generalist practice and essential skills necessary to develop professional and personal success. The course is intended for social work majors minors exploratory students and those considering a double major or work in the human service field. Twenty-five hours of out-of-class self-directed learning experiences are required. Fifteen to twenty of the twenty-five hours will be community volunteering. 
SOCW 210, Social Welfare Policy: History and Programs 3 Cr.,  An overview of the history of social welfare programs in the United States and the economic social and political forces that shape the structure of the American welfare system. Policy issues including health and mental health services anti-poverty programs corrections housing employment children’s issues and human rights are examined with emphasis on how these policies impact populations at risk. May be used to fulfill the Social Science component of the General Education Requirements. Some sections may fulfill the Writing Intensive Course (WIC) General Education requirement. 
SOCW 220, Human Behavior and Social Environment 3 Cr.,  An introduction to the study of the interacting forces of biology psychology social systems and cultural variables that affect human development and behavior. General Systems Theory provides the theoretical foundation for the course which also introduces a variety of other theoretical frameworks that apply to different social groups (friendship family organization community). Gender race sexual orientation and social class issues related to human development and interaction are explored. May be used to fulfill the Social Science component of the General Education Requirements. 
SOCW 240, Communication and Counseling Skills 3 Cr.,  This course is a unique experiential and introductory interviewing course where students critically examine and learn about foundational theory for communication and counseling skills. Additionally they learn elements of basic counseling theory the overarching helping process in a multicultural context and then apply theoretical frameworks in videotaped and cross cultural exchanges. Built on social work systems theory and the strengths perspectives students gain experience in applying theory and skills with sensitivity to work with people from diverse backgrounds. The aim is for students to develop beginning level intentional competence as communicators interviewers and change agents with client systems. 
SOCW 260, Diverse Populations: Human Rights & Justice 3 Cr.,  This course introduces students to some of the diversity factors by which people self-define or are defined by others. Students will learn social work theories and practices relevant to understanding human diversity and how it is sometimes used as an excuse for oppression as well as strategies to address human rights and social justice issues involved in such situations.  May be used to fulfill either the Cultural Diversity course component or to partially fulfill the Social Science component of the General Education Requirements but not both. 
SOCW 290, Topics in Social Work 2-3 Cr.,  A study of selected topics reflective of contemporary concerns for the social worker such as adulthood women clinical methods and techniques for helping professions housing ethics substance abuse juvenile delinquency and poverty. Listings are announced. May be repeated if topics are different. 
SOCW 356, Generalist Practice with Individuals 3 Cr.,  An integrated theory and practice course that introduces the planned change process and the Generalist Intervention Model for social work practice. Theories concepts and ethical models are presented as a framework for generalist social work intervention at the micro-level.  Corequisite: 
SOCW 365, Research and Statistics: Methods 3 Cr.,  This course covers multiple interrelated topics necessary to plan an independent research project. These topics include univariate bivariate and multivariate statistics using and interpreting statistical software researching and writing a literature review developing a research proposal based on a literature review instrument design research methods planning and IRB application drafting.  
SOCW 366, Research and Statistics: Implementation 3 Cr.,  This course involves application of the previously planned content from SOCW365. Students will implement the research projects that were planned (proposal methods instrumentation IRB) previously. This includes data collection data analysis presentation (oral and poster) preparation and implementation and research paper writing. May be used to fulfil the Quantitative Analysis component of the General Education Requirements.  
SOCW 386, students apply frameworks and skills learned to work with real client systems in the agency context of practice., This course provides junior students with an integrative seminar and entry-level field experience where they are introduced to the overarching social work core competency educational model and begin to develop a professional social work identity in the delivery of that model.  Corequisites: 
SOCW 386, Junior Field Experience 2 Cr.,  This course represents the entry level field experience portion of the junior social work practice experience. Utilizing the Core Competency Educational Curriculum model students apply learning to an educationally directed field practicum of 100 hours in a community social service setting. Background checks needed.  Corequisites: 
SOCW 390, Advanced Topics in Social Work 2-3 Cr.,  A study of selected topics reflective of contemporary issues of practice or methodology in social work such as family therapy supervision community organization and integrating social work into other fields. Listings are announced. Junior standing or consent of the department chair required. May be repeated if topics are different. 
SOCW 395, Independent Study 1-3 Cr.,  This curricular offering gives students an opportunity to independently examine a topic in depth beyond the traditional social work courses. Credit is based on the anticipated length and rigor of the project. Students are required to be in good standing and have at least a 2.500 grade point average. Students are assigned a faculty mentor for the project based on faculty expertise and workload.  
SOCW 410, Social Welfare Policy: Analysis and Advocacy 3 Cr.,  An intensive study of the contemporary and historical forces that shape social welfare policy in the United States. Particular attention is given to interpreting and applying ethical principles to social policy analyzing competing vested interests and their influence and tracing the implementation process. Students collectively advocate for policy change at the state level. Each student selects a specific policy to analyze using course content. Senior standing and Social Work major required or consent of the chair of the department. 
SOCW 455, this course extends the focus of theory and practice to work with organizations and communities., This macro-level class is experientially based and entails the planning and execution of projects and events in the Department of Social Work the University and the city of Valparaiso more broadly.  Corequisite: 
SOCW 475, Senior Integrative Seminar I 3 Cr.,  This course is the first segment of the senior social work practice sequence where students prepare for competent and effective social work as beginning generalist practitioners by reflecting upon and integrating course work with the field experience. Senior standing and Social Work major required.  Corequisites: 
SOCW 476, Senior Integrative Seminar II 3 Cr.,  This course is the continuation of and the final professional foundation course in the senior social work practice sequence where students prepare for competent and effective social work as beginning generalist practitioners by reflecting upon and integrating course work with the field experience. Senior standing and Social Work major required.  Corequisite: 
SOCW 485, Senior Field Experience I 4 Cr.,  This course represents the field experience portion of the senior social work practice sequence where students prepare for competent and effective social work as beginning generalist practitioners by reflecting upon and integrating course work with the field experience. Utilizing the Core Competency Educational Curriculum model students apply learning to an educationally directed field practicum of 225 hours in a community social service setting. Background checks are needed. Senior standing and Social Work major required.  Corequisites: 
SOCW 486, Senior Field Experience II 4 Cr.,  This course is the continuation and final professional foundation course in the senior social work practice sequence where students prepare for competent and effective social work as beginning generalist practitioners by reflecting upon and integrating course work with the field experience. Utilizing the Core Competency Educational Curriculum model students apply learning to an educationally directed field practicum of 225 hours in a community social service setting. Senior standing and Social Work major required.  Corequisite: 
SOC 275,) partially fulfill the Cultural Diversity Requirement of the General Education Requirements., Level I Courses Level I courses are designed to give students a broad overview of sociology. These courses typically expose the student to many different sociological topics and are taught at the introductory level. 
SOC 130, The Criminal Justice System 3 Cr.,  A survey of the operations functions and interactions of the police the courts and correction agencies; that is formal organizations of social control. Field trips and observation of selected agencies may be scheduled. Normally offered every semester.    Sociology and Criminology 265 Level II Courses Level II courses focus on one broad sociological topic and provide information about fundamental concepts and theoretical approaches used within sociology. No prerequisites. 
SOC 210, Contemporary Social Problems 3 Cr.,  Sociological perspectives are applied to the identification explanation and analysis of social problems in American society and in selected world societies. Course content focuses on: 1) examining the major institutions of society–the family economy and polity–and how they can perpetuate social problems; and 2) examining inequalities based on class race and gender. Specific topics can include poverty homelessness racism sexism drug abuse crime juvenile delinquency and violence. May be used to fulfill the Cultural Diversity course component of the General Education Requirements. Normally offered during the summer. 
SOC 255, Sociology of Health and Health Care 3 Cr.,  This course examines the social sources and social distribution of illness in the United States and other countries. Other topics which are examined include aging mental illness bioethics the profession of medicine and health care institutions. University students work off-site with local residents to examine the effects of aging stress and other demographic characteristics on health. Normally offered every fall. 
SOC 270, Juvenile Delinquency 3 Cr.,  A criminological course that focuses specifically on crime committed by youth typically early through late adolescence. This course explores the nature and extent of delinquency theory and research and societal responses to delinquency. Normally offered every fall. 
SOC 275, Systems of Social Stratification 3 Cr.,  This course examines four social divisions found in the United States and in other postmodern societies. The course will examine: 1) gender identity and behavior 2) social class 3) race and ethnicity and 4) sexuality. May be used to fulfill the Cultural Diversity course component of the General Education Requirements. Normally offered every semester. 
SOC 280, Media and Crime 3 Cr.,  This course examines the complex relationships among media crime and the criminal justice system. Special emphasis is placed on television news media and the pervasiveness of crime and criminological theory in Hollywood cinema. Course content includes an evaluation of how the media reports and frames crime fundamentally influencing public perception. In addition students will develop a sense of how the media simultaneously acts as a catalyst for a consequence of and a solution to the crime problem. Normally offered in the fall of even numbered years. 
SOC 281, Hollywood Goes to High School 3 Cr.,  This course examines the way in which Hollywood films that focus on high school portray individualism social class gender race and the roles of students and faculty in urban suburban and elite/private high schools. The course critically examines these images as well as the reality of life and academics in U.S. high schools. The course also contrasts images of U.S. high school life with those in films from other countries. Normally offered in the fall of odd numbered years.    Sociology and Criminology 266 
SOC 290, Topics in Sociology 3 Cr.,  A survey course focusing on topics from a sociological perspective generally involving the interplay between social structure(s) and social interaction(s). The exact topic of the course may vary each time this course is offered. Topics may include: criminal investigations sport and society cyber communities religion and society high school culture and education healthcare and/or organizational behavior. May be repeated for credit if topics are different. 
SOC 291, Topics in Criminology 3 Cr.,  A survey course focused on gaining understanding of topics from a criminological perspective. The exact topics addressed by the course may vary each time this course is offered. Topics may include: criminal investigations cybercrime comparative justice systems interpersonal violence white collar crime or other central themes in criminology. May be repeated for credit if topics are different. Level III Courses Level III courses are designed to provide depth of experience and understanding in narrow subject areas. 
SOC 315,/515 Mass Media and Society 3 Cr.,  This course examines the overall structure and scope of the media as a social institution. Students will explore the social factors (e.g. economics politics technology law and culture) that shape media messages and the way in which media images and meanings frame social issues and affect public discourse and individual beliefs. Topics include social inequality (based on race ethnicity social class and gender) media representations social change and public policy among others.  Normally offered in the spring of odd numbered years.  
SOC 325,/525 Urban Sociology 3 Cr.,  An examination of the city as a social system. Emphasis placed upon the historical demographic and ecological development of urban areas along with an exploration of major problems confronting American cities. Development of urban life style is also examined. Normally offered in the fall of even numbered years. 
SOC 340,/540 Gender 3 Cr.,  An introduction to how society defines and structures gender identity and behavior for males and females. The course focuses on the biological and social constructs of gender and how those are interpreted through history language sexuality race family structure dating patterns religion and work environments.  Normally offered each spring of odd-numbered years. 
SOC 350,/550 Police in Society 3 Cr.,  An examination of the history structure and behavior of the police in American society and other selected countries/societies. Students will learn about the history of American policing police practices the relationship of the police system to the constitution and local and national society. Overall emphasis is on the description and analysis of the police as part of a culture's broader system of social control.  Normally offered each spring of even-numbered years.    Sociology and Criminology 267 
PSY 380.,) This Inside-Out Prison Exchange course brings together students from Valparaiso University and residents of a local correctional facility to engage in meaningful dialogue about crime justice the criminal justice system imprisonment and human behavior., It is an opportunity for all participants to gain a deeper understanding of these topics from both theoretical and practical perspectives. “Inside” and “outside” students will work together share ideas and perceptions and learn from one another over the course of the semester. The course is limited to juniors and seniors and to Sociology and Psychology majors. Inclusion in the course requires completion of an application and interview and consent of the instructors. Normally offered each spring. 
SOC 386, Internship in Sociology/Criminal Justice/ Anthropology 3 Cr.,  Internships are organized to provide students with some measure of “hands on” experience in their field of interest. Students are required to develop a contract with both the agency to which they are assigned and a supervising instructor outlining basic expectations. A minimum of 128 internship hours and a biweekly class are required. Students planning an internship in a spring semester must complete an application for placement with the internship coordinator by October 1. Experience and workload vary with both the field of study and the agency assignment. Required of all criminology students recommended for all others.  Normally offered each spring and second summer session. 
THTR 101, Introduction to Theatre 3 Cr.,  An introduction to the field of theatre surveying the development of performance and design technology and dramatic literature especially during the past twenty-five years. Field trip to Chicago. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
THTR 129, Basic Stagecraft 2+2 3 Cr.,  An introduction to the technology terminology and practices of modern stagecraft. This course prepares students for more advanced work in theatre technology costume construction and design scenery construction and design lighting design and stage management. Offered fall semester. 
THTR 136, Movement for the Theatre 3 Cr.,  A course in developing the physical skills required for live theatrical performance emphasizing skeletal alignment and correct body placement for the purpose of developing efficient economical movement. The physical emotional and psychological motivations of movement are explored. Offered spring semester. 
THTR 230, Costume and Makeup 2+2 3 Cr.,  An introduction to the design and practice of stage and studio costumes and makeup with discussion of materials equipment and historical background. Offered in the fall semester. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
THTR 231, Scenery and Lighting 2+2 3 Cr.,  An introduction to the process of designing scenery and lighting for the stage. The course covers the basics in conceptualizing drafting drawing and presenting of scenic and lighting designs. Offered spring semester odd-numbered years. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
THTR 232, Educational Outreach Theatre 2+2 3 Cr.,  Students will be introduced to the theories methods and performance practices of Educational Outreach Theatre and will explore theatre techniques used outside of traditional theatre professions focusing especially on theatre's use in instruction and social interaction. Fieldwork for this course will include performances of plays developed and rehearsed in class in local schools. This interdisciplinary course will be useful for students preparing for a variety of professions. Offered in the spring semester even-numbered years. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.    Theatre 272 
THTR 235, Acting I 2+2 3 Cr.,  An introduction to basic acting technique. Students examine ways to construct the interior physical and vocal life of a character and learn warm-up procedures rehearsal strategies and staging principles. Experiences include scene study and character analysis; performance of monologues and improvisations; field trips. Offered spring semester. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
THTR 238, Theatre and Culture I 3 Cr.,  A study of European theatre history and dramatic literature from ancient Greece to the Renaissance featuring an integrated analysis of visual art architecture music drama and social history. Development of dramatic and theatrical art is traced through media presentations live performances lectures and discussions.  Offered fall semester odd-numbered years. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
THTR 239, Theatre and Culture II 3 Cr.,  A study of European and American theatre history and dramatic literature from the Renaissance through the modern period featuring an integrated analysis of visual art architecture music drama and social history. Development of dramatic and theatrical art is traced through media presentations live performances lectures and discussions.  Offered spring semester odd-numbered years. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
THTR 252, Writing for Stage and Screen 3 Cr.,  Devoted to the study of creative writing in dramatic form giving special attention to the particular requirements of stage film and television. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
THTR 298, Dance Composition 3 Cr.,  An introduction to the craft of choreography through the creation and performance of solos and small group dance works. Previous dance experience and a readiness to create are requisite. Instructor approval required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
THTR 335, Acting II 2+2 3 Cr.,  A continuation of work in acting theory and technique featuring intensive training in comic dramatic and lyric scene performance. Students consider the methods of influential acting teachers and apply advanced techniques such as active analysis. Coursework culminates in the annual Acting/Directing Showcase. Two evening rehearsals during the week of the showcase are required. Offered most fall semesters.  
THTR 337,/537 American Theatre 3 Cr.,  A study of American theatre and drama with particular emphasis given to the development of musical theatre and to significant American playwrights and theatre practitioners of the modern and postmodern periods. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
THTR 390,/590 Topics and Projects 1-3 Cr.,  Specific projects or specialty courses based on interests of students and faculty. Example topics: Chicago Theatre Musical Theatre The London Stage (study abroad course) Contemporary and Postmodern Theatre Theatre of the Non-Western World The Vampire Tradition Auditioning Acting for the Camera Scene Painting Design for the Theatre. 
THTR 431, Play Directing 2+2 3 Cr.,  Study in the theories and studio practice in the art of directing for the theatre including the process of play selection and analysis methods of casting principles of collaboration staging techniques and rehearsal procedures. Coursework culminates in a public performance in the annual Acting/Directing Showcase. Serves as Senior Capstone course. Offered fall semester.  
